file,decile,mean_energy,fragile_fraction,mean_abs_diff,d_rs_per_bit,d_spa_per_bit,flips,domain
nature7.wav,0,280.08292748607647,0.03307467243353263,124.29151970024633,1.5765e-07,4.4591500000000006e-08,20000,ambient
nature7.wav,1,476.5581598399855,0.004272118924676408,230.3278995994165,-4.649999999999989e-09,2.22275e-08,20000,ambient
nature7.wav,2,519.0457038077384,0.0038671282520348735,243.7891373062094,4.3e-08,1.8502000000000002e-08,20000,ambient
nature7.wav,3,552.0287461546242,0.003785949150187561,250.52008752836568,1.2855000000000002e-07,3.9581e-08,20000,ambient
nature7.wav,4,588.6713820930901,0.003797922721535843,253.5117237705962,8.80000000000002e-09,-6.8625e-09,20000,ambient
nature7.wav,5,628.5882017757702,0.0036124072294457504,270.96596000879947,-1.4799999999999992e-08,-1.2443999999999997e-08,20000,ambient
nature7.wav,6,672.1859424440756,0.003160892923304928,288.6547679696184,-9.569999999999999e-08,-2.6623999999999994e-08,20000,ambient
nature7.wav,7,739.5249308388532,0.0029755702211416,325.63292810003475,4.7150000000000015e-08,3.375650000000001e-08,20000,ambient
nature7.wav,8,898.6734094696315,0.00193257958871929,491.07990695844376,1.0150000000000003e-08,-3.3734999999999963e-09,20000,ambient
nature7.wav,9,1655.4274459895764,0.0010407752619284408,1071.2131507736428,-3.789999999999999e-08,-4.652499999999995e-09,20000,ambient
nature8.wav,0,31.01709442522624,0.07588047412875293,14.692639647952303,2.7150000000000005e-08,1.7658000000000002e-08,20000,ambient
nature8.wav,1,40.36218460709211,0.052005783154432376,18.607049426655344,-2.2500000000000003e-09,2.990499999999999e-09,20000,ambient
nature8.wav,2,47.13285052807644,0.043510621978034465,22.230905155025766,-7.4500000000000005e-09,1.5099999999999987e-09,20000,ambient
nature8.wav,3,54.61148473707985,0.03626259986135891,26.781356182597133,-5.75e-09,6.359000000000003e-09,20000,ambient
nature8.wav,4,64.55621332267354,0.029300293201809213,33.0990522081051,2.965e-08,6.7944999999999976e-09,20000,ambient
nature8.wav,5,77.02167209540463,0.024263500478735343,39.81387565382178,-7.4500000000000005e-09,8.159500000000001e-09,20000,ambient
nature8.wav,6,96.02495360387373,0.019070077990709304,49.537184095009444,-1.235e-08,1.4809999999999975e-09,20000,ambient
nature8.wav,7,128.5542189222947,0.015146220263716407,65.15968451767058,-4.3000000000000005e-09,1.3354999999999996e-09,20000,ambient
nature8.wav,8,192.59427281559482,0.011242785074762533,94.97091305731037,-2.7000000000000006e-09,8.537000000000004e-09,20000,ambient
nature8.wav,9,292.11648880578025,0.006923905230290167,146.4702516414798,-7.000000000000001e-09,5.168499999999999e-09,20000,ambient
nature9.wav,0,222.15976897750738,0.009804526658261108,76.5166244919192,4.405e-08,2.7335499999999997e-08,20000,ambient
nature9.wav,1,281.7832260281119,0.009885971797200886,80.03792121206776,6.414999999999999e-08,2.1502e-08,20000,ambient
nature9.wav,2,339.30907970988534,0.009445194063020875,84.95196267781394,-2.9549999999999997e-08,2.7780999999999996e-08,20000,ambient
nature9.wav,3,416.08324132744434,0.009462748694793284,82.56424615493157,2.8550000000000004e-08,3.00085e-08,20000,ambient
nature9.wav,4,586.3984368089095,0.010325641274348145,74.12040702954845,-3.849999999999996e-09,1.5934499999999996e-08,20000,ambient
nature9.wav,5,889.2160815964746,0.012926321729622967,63.993589743589745,8.14e-08,-1.0766e-08,20000,ambient
nature9.wav,6,1259.1705711600453,0.014065255731922398,62.075282186948854,3.9849999999999996e-08,3.3820000000000013e-09,20000,ambient
nature9.wav,7,1732.4836210502785,0.014734929984832987,63.39207611724454,-4.085e-08,-7.386e-09,20000,ambient
nature9.wav,8,2583.690817924468,0.014293902385256381,68.15957850182973,-3.45e-08,2.3771999999999996e-08,20000,ambient
nature9.wav,9,4935.98093820969,0.01106978547883873,95.77078669510497,-1.0199999999999999e-08,1.5130000000000013e-09,20000,ambient
instrument1.wav,0,115.24795690951716,0.5069405274525719,11.17433174207927,8.763e-07,3.64158e-07,20000,instrumental
instrument1.wav,1,3805.604841870867,0.00425385462555066,310.54500275330395,-2.7249999999999996e-08,6.397999999999994e-09,20000,instrumental
instrument1.wav,2,5099.065590151303,0.0026450470804604033,407.42211920621037,-9.099999999999999e-09,-4.171000000000003e-09,20000,instrumental
instrument1.wav,3,5609.374506337142,0.0023146553505738418,435.66779184635095,2.5000000000000064e-10,6.47e-09,20000,instrumental
instrument1.wav,4,6046.671565438396,0.0022594511187038467,455.79999035600133,1.7050000000000007e-08,-6.184500000000004e-09,20000,instrumental
instrument1.wav,5,6452.301819748848,0.0020460181868283273,483.7710112978782,3.49e-08,7.97949999999999e-09,20000,instrumental
instrument1.wav,6,6920.436398094403,0.001797991209820752,517.0777062867693,7.400000000000007e-09,-3.092000000000004e-09,20000,instrumental
instrument1.wav,7,7409.885745094551,0.002011434869463388,544.2395191844045,-2.9199999999999993e-08,-2.2371000000000006e-08,20000,instrumental
instrument1.wav,8,8032.006352599999,0.0015703560851298298,595.3937323507129,-3.195e-08,-3.014450000000001e-08,20000,instrumental
instrument1.wav,9,9071.49832671136,0.0014663463193330534,665.2492169159914,2.3900000000000006e-08,-1.5104000000000007e-08,20000,instrumental
instrument10.wav,0,27.368219251679037,0.7200945234443017,1.7668711910783135,7.729999999999999e-07,3.7412800000000003e-07,20000,instrumental
instrument10.wav,1,2992.173582631151,0.01739920283032563,392.8614160752873,-2.7400000000000004e-08,-1.4383e-08,20000,instrumental
instrument10.wav,2,7320.236342353337,0.0017681043928678155,732.7175349470399,2.8499999999999987e-08,2.4774999999999994e-09,20000,instrumental
instrument10.wav,3,8368.910646943641,0.0011956061474082745,967.5294210443287,-2.09e-08,-4.247499999999999e-09,20000,instrumental
instrument10.wav,4,9186.629082731879,0.0010836350350416847,1018.3521564752383,9.250000000000002e-09,-1.2830000000000025e-09,20000,instrumental
instrument10.wav,5,9909.642770485023,0.0009508071480767953,1152.64292416794,7.099999999999999e-09,-5.9735e-09,20000,instrumental
instrument10.wav,6,10674.879845266116,0.0010338041501631668,1308.182900298101,5.8e-09,-4.557500000000001e-09,20000,instrumental
instrument10.wav,7,11571.876346236035,0.0009174959418448727,1384.8550314896231,-2.4899999999999998e-08,-1.7349500000000003e-08,20000,instrumental
instrument10.wav,8,12500.23158113262,0.0009838066259583813,1480.751524485162,2.1049999999999997e-08,1.9024999999999988e-09,20000,instrumental
instrument10.wav,9,13896.051120535383,0.0007677909616478039,1951.3012770231292,-4.265e-08,-2.5054e-08,20000,instrumental
instrument11.wav,0,185.64326762756588,0.5131434603522861,8.742336431188294,1.3098499999999998e-06,8.594364999999999e-07,20000,instrumental
instrument11.wav,1,570.1895587881298,0.04180686841914543,25.398780374170435,-1.2535e-07,4.9490999999999996e-08,20000,instrumental
instrument11.wav,2,771.2842339172423,0.030240891484910624,32.185287599163196,-8.315e-08,2.7385e-08,20000,instrumental
instrument11.wav,3,936.2120605958304,0.023078516677025068,39.5059250051792,-1.026e-07,2.46235e-08,20000,instrumental
instrument11.wav,4,1096.2545501006634,0.01845117845117845,45.798280238280235,-6.41e-08,-3.862500000000001e-09,20000,instrumental
instrument11.wav,5,1246.1853829575969,0.01669136007128278,51.71039298776381,-6.199999999999999e-09,9.0515e-09,20000,instrumental
instrument11.wav,6,1390.0915959070971,0.015054810701038191,56.64684916177964,-2.065000000000001e-08,9.935000000000001e-09,20000,instrumental
instrument11.wav,7,1576.4007337404855,0.013571191778551301,62.417215730150836,4.014999999999999e-08,4.525499999999999e-09,20000,instrumental
instrument11.wav,8,1882.3074416548595,0.011144946450396702,74.70583970335385,-9.06e-08,4.37415e-08,20000,instrumental
instrument11.wav,9,2504.45296958645,0.00848887646614284,96.90883774858432,-5.7899999999999996e-08,1.2143000000000002e-08,20000,instrumental
instrument2.wav,0,1883.4632471364491,0.33493150684931505,143.79405479452055,1.2514e-06,5.993139999999999e-07,20000,instrumental
instrument2.wav,1,4025.1873112068606,0.003153233435242182,295.4852552062626,1.0019999999999998e-07,5.4882e-08,20000,instrumental
instrument2.wav,2,4794.957167044407,0.003017046311660884,342.7699913602765,3.1749999999999996e-08,7.362000000000004e-09,20000,instrumental
instrument2.wav,3,5296.019987649801,0.002852441031267142,376.2849835436094,1.1060000000000002e-07,9.768500000000002e-09,20000,instrumental
instrument2.wav,4,5805.112390792801,0.0025370268787712562,416.5647970378497,3.7799999999999994e-08,-1.0015999999999997e-08,20000,instrumental
instrument2.wav,5,6403.36576449424,0.002358684621924796,459.82870738597404,-1.095e-08,-4.03885e-08,20000,instrumental
instrument2.wav,6,7029.167994443271,0.0021806511781002277,498.58082124146256,7.775e-08,2.4485e-08,20000,instrumental
instrument2.wav,7,7757.509887124082,0.0017690134664435973,560.9241518334659,0.0,-1.48725e-08,20000,instrumental
instrument2.wav,8,8692.875840018734,0.0016316568858662864,647.1846925903582,-2.63e-08,-2.9045e-08,20000,instrumental
instrument2.wav,9,10611.793569998023,0.0017951353203151765,797.7616581020898,7.555e-08,3.9335e-08,20000,instrumental
instrument3.wav,0,125.1303510111325,0.12103840098569375,15.05422171264289,2.432e-07,7.21885e-08,20000,instrumental
instrument3.wav,1,317.6586986119997,0.0957707185157293,50.45345394173827,1.1015e-07,4.3982e-08,20000,instrumental
instrument3.wav,2,1134.1070743913074,0.08365780398264545,88.46948834900776,1.3e-07,5.065250000000001e-08,20000,instrumental
instrument3.wav,3,1684.4747511614437,0.06621139380246976,113.61343739570229,1.1355000000000002e-07,4.638350000000001e-08,20000,instrumental
